City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Axim,GH,4.8699,-2.2405,76.71,89,81,6.4,broken clouds
315,Chebenki,RU,51.9337,55.7077,46.15,79,100,4.18,overcast clouds
316,Flinders,AU,-34.5833,150.8552,70.18,60,1,5.99,clear sky
317,Huarmey,PE,-10.0681,-78.1522,63.25,84,19,7.4,few clouds
318,Mabai,CN,23.0128,104.4508,63.7,97,90,2.89,overcast clouds
319,Urdoma,RU,61.7533,48.5442,42.24,95,100,1.48,overcast clouds
320,Barcelos,PT,41.5388,-8.6151,65.91,98,100,17.58,light rain
321,Fort-Shevchenko,KZ,44.5086,50.263,53.65,46,41,15.97,scattered clouds
322,Padang,ID,-0.9492,100.3543,73.45,80,97,2.19,overcast clouds
323,Finale Ligure,IT,44.1695,8.3436,68.86,83,53,1.01,light rain
324,Luderitz,NA,-26.6481,15.1594,56.84,72,0,23.35,clear sky
325,Paamiut,GL,61.994,-49.6678,40.17,68,37,8.08,scattered clouds
326,Beloha,MG,-25.1667,45.05,69.82,71,2,2.75,clear sky
327,Port Lavaca,US,28.615,-96.6261,83.3,85,1,8.05,clear sky
328,Bin Qirdan,TN,33.1378,11.2197,74.88,67,4,7.16,clear sky
329,Blagoyevo,RU,63.3667,47.9167,41.52,93,100,2.44,overcast clouds
330,Oistins,BB,13.0667,-59.5333,82.62,73,11,22.86,few clouds
331,Jiangdu,CN,32.4286,119.5574,80.89,72,25,14.12,scattered clouds
332,Saint-Georges,GD,12.0564,-61.7485,83.88,79,40,17.27,haze
333,Severo-Kurilsk,RU,50.6789,156.125,47.46,95,100,30.11,heavy intensity rain
334,Araouane,ML,18.9048,-3.5265,93.49,10,98,9.6,overcast clouds
335,Tooele,US,40.5308,-112.2983,72.97,28,1,5.75,clear sky
336,Kindu,CD,-2.95,25.95,68.94,99,99,2.39,overcast clouds
337,Anito,PH,12.4497,125.2886,80.87,88,100,4.09,overcast clouds
338,Isiro,CD,2.7739,27.616,65.28,100,100,1.41,overcast clouds
339,Ciro Marina,IT,39.3732,17.126,68.56,71,87,4.27,overcast clouds
340,North Bend,US,43.4065,-124.2243,70.25,88,1,20.71,clear sky
341,Zlobin,HR,45.2924,14.6541,51.62,81,0,3.44,clear sky
342,Teguise,ES,29.0605,-13.564,68.22,83,20,12.66,few clouds
